Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Agriculture,Industry,Service,Latitude,Longitude,Phones (per 1000)
Qatar,NEAR EAST                          ,885359,11437,77.4,21500,82.5,0,0.8,0.2,25.354826,51.183884,306.30
Reunion,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,5800,88.9,0.08,0.19,0.73,-21.115141,55.536384,399.20
Romania,EASTERN EUROPE                     ,22303552,237500,93.9,7000,98.4,0.1,0.35,0.55,45.943161,24.96676,283.10
Russia,C.W. OF IND. STATES ,142893540,17075200,8.4,8900,99.6,0.05,0.37,0.58,61.52401,105.318756,232.00
Rwanda,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,1300,70.4,0.4,0.23,0.37,-1.940278,29.873888,380.90
Saint Helena,SUB-SAHARAN AFRICA                 ,7502,413,18.2,2500,97,,,,-24.143474,-10.030696,196.90
Saint Kitts & Nevis,LATIN AMER. & CARIB    ,39129,261,149.9,8800,97,0.04,0.26,0.71,17.357822,-62.782998,280.60
Saint Lucia,LATIN AMER. & CARIB    ,168458,616,273.5,5400,67,0.07,0.2,0.73,13.909444,-60.978893,2.70
St Pierre & Miquelon,NORTHERN AMERICA                   ,7026,242,29,6900,99,,,,46.941936,-56.27111,293.30
Saint Vincent and the Grenadines,LATIN AMER. & CARIB    ,117848,389,303,2900,96,0.1,0.26,0.64,12.984305,-61.287228,638.90
Samoa,OCEANIA                            ,176908,2944,60.1,5600,99.7,0.11,0.58,0.3,-13.759029,-172.104629,303.30
San Marino,WESTERN EUROPE                     ,29251,61,479.5,34600,96,,,,43.94236,12.457777,683.20
Saudi Arabia,NEAR EAST                          ,27019731,1960582,13.8,11800,78.8,0.03,0.61,0.35,23.885942,45.079162,190.90
Senegal,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,1600,40.2,0.17,0.21,0.62,14.497401,-14.452362,75.20
Serbia,EASTERN EUROPE                     ,9396411,88361,106.3,2200,93,0.17,0.26,0.58,44.016521,21.005859,704.30
Seychelles,SUB-SAHARAN AFRICA                 ,81541,455,179.2,7800,58,0.03,0.3,0.67,-4.679574,55.491977,36.20
Sierra Leone,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,500,31.4,0.49,0.31,0.21,8.460555,-11.779889,140.60
Singapore,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,23700,92.5,0,0.34,0.66,1.352083,103.819836,22.20
Slovakia,EASTERN EUROPE                     ,5439448,48845,111.4,13300,,0.04,0.29,0.67,48.669026,19.699024,285.80
Slovenia,EASTERN EUROPE                     ,2010347,20273,99.2,19000,99.7,0.03,0.37,0.6,46.151241,14.995463,262.40
Solomon Islands,OCEANIA                            ,552438,28450,19.4,1700,,0.42,0.11,0.47,-9.64571,160.156194,4.00
Somalia,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,500,37.8,0.65,0.1,0.25,5.152149,46.199616,411.40
Spain,WESTERN EUROPE                     ,40397842,504782,80,22000,97.9,0.04,0.3,0.67,40.463667,-3.74922,220.10
Sri Lanka,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,3700,92.3,0.18,0.28,0.55,7.873054,80.771797,406.10
Sudan,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,1900,61.1,0.39,0.2,0.41,12.862807,30.217636,13.40
Suriname,LATIN AMER. & CARIB    ,439117,163270,2.7,4000,93,0.13,0.22,0.65,3.919305,-56.027783,11.30
Swaziland,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,4900,81.6,0.12,0.52,0.37,-26.522503,31.465866,107.00
Sweden,WESTERN EUROPE                     ,9016596,449964,20,26800,99,0.01,0.28,0.71,60.128161,18.643501,453.50
Switzerland,WESTERN EUROPE                     ,7523934,41290,182.2,32700,99,0.02,0.34,0.65,46.818188,8.227512,61.50
Syria,NEAR EAST                          ,18881361,185180,102,3300,76.9,0.25,0.23,0.52,34.802075,38.996815,16.30
Taiwan,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,23400,96.1,0.02,0.26,0.72,23.69781,120.960515,184.70
Tajikistan,C.W. OF IND. STATES ,7320815,143100,51.2,1000,99.4,0.23,0.29,0.48,38.861034,71.276093,30.80
Tanzania,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,600,78.2,0.43,0.17,0.4,-6.369028,34.888822,715.00
Thailand,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,7400,92.6,0.1,0.44,0.46,15.870032,100.992541,680.90
Togo,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,1500,60.9,0.4,0.2,0.4,8.619543,0.824782,153.80
Tonga,OCEANIA                            ,114689,748,153.3,2200,98.5,0.23,0.27,0.5,-21.178986,-175.198242,591.00
Trinidad & Tobago,LATIN AMER. & CARIB    ,1065842,5128,207.9,9500,98.6,0.01,0.57,0.42,10.691803,-61.222503,33.50
